checkpoint,epoch,mse,mae,max_abs_error,relative_l2,train_total,train_pde,train_boundary,train_initial,figure,grid,device,dtype
checkpoint_epoch_000500.pt,500,0.0868623136556284,0.19533872145846998,0.9744051199321748,0.4797430154423009,0.12014742195606232,0.05397135764360428,0.004685927182435989,0.06149013713002205,figures\comparison_epoch_000500.png,grids\grid_epoch_000500.npz,cpu,torch.float32
checkpoint_epoch_001000.pt,1000,0.0696494270045402,0.1647960500899901,0.9815476845464902,0.4295876010069362,0.08839106559753418,0.036109790205955505,0.0010021196212619543,0.051279157400131226,figures\comparison_epoch_001000.png,grids\grid_epoch_001000.npz,cpu,torch.float32
checkpoint_epoch_001500.pt,1500,0.058685602956083854,0.13845781945360475,1.2803620688092576,0.39432902921731744,0.07807205617427826,0.029782770201563835,0.0011150455102324486,0.04717424139380455,figures\comparison_epoch_001500.png,grids\grid_epoch_001500.npz,cpu,torch.float32
checkpoint_epoch_002000.pt,2000,0.04731325634875848,0.12374805686781239,1.3581389165939495,0.3540661297924404,0.05650685727596283,0.02464194782078266,0.0011302315397188067,0.030734680593013763,figures\comparison_epoch_002000.png,grids\grid_epoch_002000.npz,cpu,torch.float32
checkpoint_epoch_002500.pt,2500,0.024817823989594222,0.10350630029977062,1.187242583089348,0.25643353199278285,0.039777398109436035,0.019971147179603577,0.0007903094519861042,0.01901594176888466,figures\comparison_epoch_002500.png,grids\grid_epoch_002500.npz,cpu,torch.float32
checkpoint_epoch_003000.pt,3000,0.10055782489247216,0.12889811150526345,1.679191618019875,0.5161796745729073,0.39392030239105225,0.37190067768096924,0.0006552455015480518,0.021364381536841393,figures\comparison_epoch_003000.png,grids\grid_epoch_003000.npz,cpu,torch.float32
checkpoint_epoch_003500.pt,3500,0.015903963452807805,0.06267802688303097,1.268103654362449,0.2052795318498206,0.022922638803720474,0.012646946124732494,0.00022580515360459685,0.01004988793283701,figures\comparison_epoch_003500.png,grids\grid_epoch_003500.npz,cpu,torch.float32
checkpoint_epoch_004000.pt,4000,0.13883316098270096,0.14071959460709166,1.806729097357038,0.6065122403442623,0.046455301344394684,0.01721246913075447,0.0005468278541229665,0.028696004301309586,figures\comparison_epoch_004000.png,grids\grid_epoch_004000.npz,cpu,torch.float32
checkpoint_epoch_004500.pt,4500,0.008402894016934184,0.045578896361385866,0.9044177960859665,0.14921325592835524,0.01526943501085043,0.0059275240637362,0.00027220859192311764,0.009069702588021755,figures\comparison_epoch_004500.png,grids\grid_epoch_004500.npz,cpu,torch.float32
checkpoint_epoch_005000.pt,5000,0.019662785775977173,0.052567598388503625,1.6216889484999348,0.22825247105997654,0.023990292102098465,0.015747861936688423,0.0007846183143556118,0.00745781185105443,figures\comparison_epoch_005000.png,grids\grid_epoch_005000.npz,cpu,torch.float32
checkpoint_epoch_005500.pt,5500,0.008963074157759885,0.046334613810804365,1.182446003041016,0.15410667808134065,0.021681174635887146,0.014008881524205208,0.0009367832681164145,0.006735511124134064,figures\comparison_epoch_005500.png,grids\grid_epoch_005500.npz,cpu,torch.float32
checkpoint_epoch_006000.pt,6000,0.014675476054331716,0.046452768980518366,1.375923725672418,0.19719189617191352,0.01186063140630722,0.006485902238637209,0.00031789354397915304,0.0050568352453410625,figures\comparison_epoch_006000.png,grids\grid_epoch_006000.npz,cpu,torch.float32
checkpoint_epoch_006500.pt,6500,0.06574020386587859,0.10371444441989468,1.7808167704799431,0.4173577547370839,0.04228348284959793,0.025922678411006927,9.974240674637258e-05,0.016261061653494835,figures\comparison_epoch_006500.png,grids\grid_epoch_006500.npz,cpu,torch.float32
checkpoint_epoch_007000.pt,7000,0.00992218641188128,0.038760863699553616,1.3227452852557429,0.162142421662645,0.00997829344123602,0.005993773695081472,0.00026342846103943884,0.003721091663464904,figures\comparison_epoch_007000.png,grids\grid_epoch_007000.npz,cpu,torch.float32
checkpoint_epoch_007500.pt,7500,0.01367315723487939,0.03367335346072682,1.5947501654228442,0.19033881802565175,0.006902704481035471,0.003760231425985694,0.00018043516320176423,0.0029620379209518433,figures\comparison_epoch_007500.png,grids\grid_epoch_007500.npz,cpu,torch.float32
checkpoint_epoch_008000.pt,8000,0.005735181651965679,0.03763314338478286,1.170408902927693,0.1232725991718923,0.011653536930680275,0.008898799307644367,8.744955994188786e-05,0.002667288761585951,figures\comparison_epoch_008000.png,grids\grid_epoch_008000.npz,cpu,torch.float32
checkpoint_epoch_008500.pt,8500,0.028848261829664837,0.045422842859448934,1.8208294267500356,0.2764730410977972,0.009391050785779953,0.005586555227637291,4.9090180255007e-05,0.0037554060108959675,figures\comparison_epoch_008500.png,grids\grid_epoch_008500.npz,cpu,torch.float32
checkpoint_epoch_009000.pt,9000,0.005614267931170833,0.029120817820533933,1.2362304671050923,0.12196621077692114,0.00501703517511487,0.003449241863563657,5.323492223396897e-05,0.0015145583311095834,figures\comparison_epoch_009000.png,grids\grid_epoch_009000.npz,cpu,torch.float32
checkpoint_epoch_009500.pt,9500,0.01644281677236918,0.04038359006211918,1.7154353384202774,0.20872817348179604,0.006929695140570402,0.004113831091672182,6.0618149291258305e-05,0.002755246125161648,figures\comparison_epoch_009500.png,grids\grid_epoch_009500.npz,cpu,torch.float32
checkpoint_epoch_010000.pt,10000,0.08865737188040283,0.09265883144468445,1.8968280500766106,0.4846747451744121,0.024905452504754066,0.010131457820534706,5.4285039368551224e-05,0.014719709753990173,figures\comparison_epoch_010000.png,grids\grid_epoch_010000.npz,cpu,torch.float32
checkpoint_epoch_010500.pt,10500,0.02208957954334107,0.04791846392425539,1.7599334013405952,0.24192830842348978,0.01585896499454975,0.012099881656467915,9.660103387432173e-05,0.0036624823696911335,figures\comparison_epoch_010500.png,grids\grid_epoch_010500.npz,cpu,torch.float32
checkpoint_epoch_011000.pt,11000,0.0008547463475702473,0.020577772713426302,0.37721788579877014,0.04758954920303482,0.0024750966113060713,0.0014914078637957573,4.625822475645691e-05,0.0009374305373057723,figures\comparison_epoch_011000.png,grids\grid_epoch_011000.npz,cpu,torch.float32
checkpoint_epoch_011500.pt,11500,0.015003716919618654,0.02805567039258987,1.6606446583769268,0.19938495969646697,0.005857041105628014,0.004236895125359297,3.5907803976442665e-05,0.0015842386055737734,figures\comparison_epoch_011500.png,grids\grid_epoch_011500.npz,cpu,torch.float32
checkpoint_epoch_012000.pt,12000,0.0038832107636642466,0.025685258155152227,1.0887553876610663,0.10143514292456397,0.0045202383771538734,0.0034934761933982372,6.656492769252509e-05,0.0009601972415111959,figures\comparison_epoch_012000.png,grids\grid_epoch_012000.npz,cpu,torch.float32
checkpoint_epoch_012500.pt,12500,0.0397169722397967,0.049314285003665345,1.906241547749584,0.324400138341542,0.005657386966049671,0.0023459792137145996,2.8879936508019455e-05,0.003282527904957533,figures\comparison_epoch_012500.png,grids\grid_epoch_012500.npz,cpu,torch.float32
