checkpoint,epoch,mse,mae,max_abs_error,relative_l2,train_total,train_pde,train_boundary,train_initial,figure,grid,device,dtype
checkpoint_epoch_014000.pt,14000,0.005172372742850557,0.014539835811519125,1.238183677214202,0.1170679116905523,0.001413749880157411,0.000876514008268714,3.1448093068320304e-05,0.0005057877860963345,figures\comparison_epoch_014000.png,grids\grid_epoch_014000.npz,cuda:0,torch.float32
checkpoint_epoch_014500.pt,14500,0.0008566360176034776,0.012856074008212693,0.48421950518038115,0.04764212555900452,0.004080384038388729,0.0033826010767370462,0.0001545767008792609,0.0005432062316685915,figures\comparison_epoch_014500.png,grids\grid_epoch_014500.npz,cuda:0,torch.float32
checkpoint_epoch_015000.pt,15000,0.016824179241340182,0.02969951149397199,1.796240471808079,0.21113484189637366,0.002873961580917239,0.0005148347117938101,1.1812539014499635e-05,0.002347314264625311,figures\comparison_epoch_015000.png,grids\grid_epoch_015000.npz,cuda:0,torch.float32
checkpoint_epoch_015500.pt,15500,0.0007522291781112664,0.009744157044492888,0.4857451448222415,0.04464450907384488,0.001622706651687622,0.001313453889451921,9.519536433799658e-06,0.0002997332194354385,figures\comparison_epoch_015500.png,grids\grid_epoch_015500.npz,cuda:0,torch.float32
checkpoint_epoch_016000.pt,16000,0.0027430050910514088,0.01995802276953858,0.9345937284068762,0.08525233265769777,0.0024768072180449963,0.00184711255133152,5.211179086472839e-05,0.0005775828612968326,figures\comparison_epoch_016000.png,grids\grid_epoch_016000.npz,cuda:0,torch.float32
checkpoint_epoch_016500.pt,16500,0.013378363620255835,0.025796186247947314,1.6839095881799002,0.18827578280510585,0.00330895627848804,0.0019831322133541107,1.7114347429014742e-05,0.001308709615841508,figures\comparison_epoch_016500.png,grids\grid_epoch_016500.npz,cuda:0,torch.float32
checkpoint_epoch_017000.pt,17000,0.031094508518417382,0.039168724813577506,1.8950165097331673,0.2870349710456877,0.006117739714682102,0.0036193225532770157,9.90848639048636e-06,0.0024885088205337524,figures\comparison_epoch_017000.png,grids\grid_epoch_017000.npz,cuda:0,torch.float32
checkpoint_epoch_017500.pt,17500,0.016848057146450525,0.0680312067494308,1.5909574155033286,0.211284616519251,0.04410620778799057,0.030997958034276962,0.00897265411913395,0.004135595168918371,figures\comparison_epoch_017500.png,grids\grid_epoch_017500.npz,cuda:0,torch.float32
checkpoint_epoch_018000.pt,18000,0.004424280445387614,0.018023995175304154,1.1554590235929219,0.10827153355234144,0.0012175841256976128,0.0006449417560361326,1.409234664606629e-05,0.0005585499457083642,figures\comparison_epoch_018000.png,grids\grid_epoch_018000.npz,cuda:0,torch.float32
checkpoint_epoch_018500.pt,18500,0.009888603075228961,0.023401151638213928,1.4565078795662123,0.16186778970434532,0.0020440611988306046,0.0011681264732033014,0.00011955670197494328,0.0007563779945485294,figures\comparison_epoch_018500.png,grids\grid_epoch_018500.npz,cuda:0,torch.float32
checkpoint_epoch_019000.pt,19000,0.05126256223467538,0.0881900907621414,1.8959617419428025,0.3685472023848166,0.1105026975274086,0.0858767181634903,0.0033095162361860275,0.02131645940244198,figures\comparison_epoch_019000.png,grids\grid_epoch_019000.npz,cuda:0,torch.float32
checkpoint_epoch_019500.pt,19500,0.0015966588111853168,0.011228067383841394,0.9293192147928828,0.06504276949644155,0.0009452405502088368,0.0004234634689055383,9.105009667109698e-06,0.0005126720643602312,figures\comparison_epoch_019500.png,grids\grid_epoch_019500.npz,cuda:0,torch.float32
checkpoint_epoch_020000.pt,20000,0.0006623747247877345,0.021073222299305326,0.3525213634083072,0.041893325886696024,0.0035592957865446806,0.0018187263049185276,0.0009701480739749968,0.0007704214076511562,figures\comparison_epoch_020000.png,grids\grid_epoch_020000.npz,cuda:0,torch.float32
checkpoint_epoch_020500.pt,20500,0.0013454717598212177,0.0079934046237409,0.7002706457245539,0.05970768837060587,0.00047720398288220167,0.0003030149673577398,1.5430496205226518e-05,0.00015875851386226714,figures\comparison_epoch_020500.png,grids\grid_epoch_020500.npz,cuda:0,torch.float32
checkpoint_epoch_021000.pt,21000,0.0032051652501329663,0.014563430066338196,1.17891528249034,0.09215484581819917,0.0017325796652585268,0.001245745224878192,2.582981323939748e-05,0.0004610047326423228,figures\comparison_epoch_021000.png,grids\grid_epoch_021000.npz,cuda:0,torch.float32
checkpoint_epoch_021500.pt,21500,0.0028844810139423975,0.012744709282844508,0.9562415663394284,0.08742322159312065,0.0010623105335980654,0.0007303986931219697,1.3514385500457138e-05,0.0003183975350111723,figures\comparison_epoch_021500.png,grids\grid_epoch_021500.npz,cuda:0,torch.float32
checkpoint_epoch_022000.pt,22000,0.00025850311124075336,0.00973969837125964,0.2555413877079288,0.02617133347756313,0.0018846571911126375,0.0013793106190860271,0.0001465036766603589,0.00035884289536625147,figures\comparison_epoch_022000.png,grids\grid_epoch_022000.npz,cuda:0,torch.float32
checkpoint_epoch_022500.pt,22500,0.0005218505537571881,0.01713931669228632,0.2213994602515657,0.03718485038332162,0.0032575472723692656,0.0014668579678982496,0.0008363391971215606,0.0009543502237647772,figures\comparison_epoch_022500.png,grids\grid_epoch_022500.npz,cuda:0,torch.float32
checkpoint_epoch_023000.pt,23000,0.001719499322278841,0.020395816130706904,0.8526334671234065,0.06749847619494302,0.0027327504940330982,0.001527261920273304,0.0001993058540392667,0.001006182748824358,figures\comparison_epoch_023000.png,grids\grid_epoch_023000.npz,cuda:0,torch.float32
checkpoint_epoch_023500.pt,23500,0.026033015920677405,0.03961982180218301,1.8782556285539898,0.26263657491901665,0.006710030138492584,0.0034843264147639275,0.0007135872729122639,0.002512116450816393,figures\comparison_epoch_023500.png,grids\grid_epoch_023500.npz,cuda:0,torch.float32
checkpoint_epoch_024000.pt,24000,0.011201009260669052,0.02445840748966592,1.5014230063546052,0.1722747158352591,0.001839365460909903,0.000898534432053566,1.4422314052353613e-05,0.0009264087420888245,figures\comparison_epoch_024000.png,grids\grid_epoch_024000.npz,cuda:0,torch.float32
checkpoint_epoch_024500.pt,24500,0.001015572028845515,0.011010131096948816,0.7447724014240855,0.05187383180311137,0.0007972379098646343,0.00046431258670054376,1.5543015251751058e-05,0.00031738230609335005,figures\comparison_epoch_024500.png,grids\grid_epoch_024500.npz,cuda:0,torch.float32
checkpoint_epoch_025000.pt,25000,0.0009198954340246432,0.007161777623012952,0.5778124939692044,0.0493698941041091,0.0004101151425857097,0.00026718684239313006,4.233874733472476e-06,0.0001386944204568863,figures\comparison_epoch_025000.png,grids\grid_epoch_025000.npz,cuda:0,torch.float32
