checkpoint,epoch,mse,mae,max_abs_error,relative_l2,train_total,train_pde,train_boundary,train_initial,figure,grid,device,dtype
checkpoint_epoch_012000.pt,12000,6.952426615267059e-05,0.004842099691361307,0.1367166172968277,0.013572541267560842,0.0004275594837963581,0.00036114774411544204,1.5479119610972703e-05,5.093263098387979e-05,figures\comparison_epoch_012000.png,grids\grid_epoch_012000.npz,cpu,torch.float32
checkpoint_epoch_012500.pt,12500,0.013436662552454076,0.024093699528517493,1.6278612831047976,0.18868556181668314,0.0014423343818634748,0.0006677519995719194,1.105238243326312e-05,0.000763530086260289,figures\comparison_epoch_012500.png,grids\grid_epoch_012500.npz,cpu,torch.float32
checkpoint_epoch_013000.pt,13000,0.02749215492531609,0.05979066777464884,1.818072940365512,0.2698965638168848,0.023213714361190796,0.018214017152786255,0.000493844854645431,0.004505852237343788,figures\comparison_epoch_013000.png,grids\grid_epoch_013000.npz,cpu,torch.float32
checkpoint_epoch_013500.pt,13500,0.058433005493247314,0.07306612377820522,1.8884477025705002,0.39347946883634116,0.01261553168296814,0.004849577322602272,3.2129282772075385e-05,0.007733825594186783,figures\comparison_epoch_013500.png,grids\grid_epoch_013500.npz,cpu,torch.float32
checkpoint_epoch_014000.pt,14000,0.007095537581780949,0.019739178425187437,1.5058460255365094,0.13711520471370306,0.0019167154096066952,0.0006080390885472298,2.3941800463944674e-05,0.0012847345788031816,figures\comparison_epoch_014000.png,grids\grid_epoch_014000.npz,cpu,torch.float32
checkpoint_epoch_014500.pt,14500,0.0009669553220358555,0.010184291176784337,0.7905613023747327,0.05061697279266481,0.0009130058460868895,0.0006208866252563894,1.1643349353107624e-05,0.0002804758842103183,figures\comparison_epoch_014500.png,grids\grid_epoch_014500.npz,cpu,torch.float32
checkpoint_epoch_015000.pt,15000,0.0002909423415106368,0.012131372017822375,0.160516788948467,0.02776492015835369,0.0014499446842819452,0.001091502606868744,2.7083249278803123e-06,0.0003557337331585586,figures\comparison_epoch_015000.png,grids\grid_epoch_015000.npz,cpu,torch.float32
checkpoint_epoch_015500.pt,15500,0.0011951730626225253,0.00919438884430731,0.6338212324053002,0.05627407463013754,0.00040908550727181137,0.0002487445599399507,9.803681678022258e-06,0.000150537263834849,figures\comparison_epoch_015500.png,grids\grid_epoch_015500.npz,cpu,torch.float32
checkpoint_epoch_016000.pt,16000,0.0028711110223853032,0.013649370230362562,0.9911610201185267,0.08722037655407283,0.0013333256356418133,0.0007074380409903824,6.561398913618177e-05,0.0005602735909633338,figures\comparison_epoch_016000.png,grids\grid_epoch_016000.npz,cpu,torch.float32
checkpoint_epoch_016500.pt,16500,0.0036427005740276236,0.01440366555591918,1.1339789941791754,0.09824369794232907,0.0009244851535186172,0.0007122742244973779,4.7485955292358994e-06,0.00020746236259583384,figures\comparison_epoch_016500.png,grids\grid_epoch_016500.npz,cpu,torch.float32
