total,pde,boundary,initial
1.547825336456298828e-01,5.935468152165412903e-02,1.079041045159101486e-02,8.463744819164276123e-02
1.583833396434783936e-01,6.032041460275650024e-02,9.411288425326347351e-03,8.865164220333099365e-02
1.536006629467010498e-01,6.564120203256607056e-02,5.646836012601852417e-03,8.231262117624282837e-02
1.254597306251525879e-01,5.611488223075866699e-02,3.614943707361817360e-03,6.572990119457244873e-02
1.284532845020294189e-01,4.798520728945732117e-02,4.106735810637474060e-03,7.636134326457977295e-02
1.357705295085906982e-01,4.892240092158317566e-02,4.704019054770469666e-03,8.214411139488220215e-02
1.345916092395782471e-01,4.658612608909606934e-02,4.730569664388895035e-03,8.327491581439971924e-02
1.280452460050582886e-01,3.947827219963073730e-02,4.494367167353630066e-03,8.407260477542877197e-02
1.278655230998992920e-01,4.080702364444732666e-02,3.409623634070158005e-03,8.364886790513992310e-02
1.364923417568206787e-01,4.641910269856452942e-02,4.321806132793426514e-03,8.575143665075302124e-02
1.244813799858093262e-01,4.768553003668785095e-02,5.263792350888252258e-03,7.153205573558807373e-02
1.283914744853973389e-01,5.377632007002830505e-02,7.404128555208444595e-03,6.721101701259613037e-02
1.257610917091369629e-01,5.459656566381454468e-02,8.282294496893882751e-03,6.288222968578338623e-02
1.232398301362991333e-01,5.450500920414924622e-02,3.879613941535353661e-03,6.485520303249359131e-02
1.140525043010711670e-01,4.832978546619415283e-02,2.143572317436337471e-03,6.357914954423904419e-02
1.178273633122444153e-01,5.188418552279472351e-02,2.038087230175733566e-03,6.390509009361267090e-02
1.074302047491073608e-01,4.483033716678619385e-02,3.830928355455398560e-03,5.876893922686576843e-02
1.030622273683547974e-01,3.800342231988906860e-02,4.920129198580980301e-03,6.013867259025573730e-02
1.071206331253051758e-01,3.183930367231369019e-02,2.827211515977978706e-03,7.245411723852157593e-02
1.100941300392150879e-01,3.243763744831085205e-02,1.725842710584402084e-03,7.593065500259399414e-02
1.034536808729171753e-01,2.932022139430046082e-02,3.024477977305650711e-03,7.110898196697235107e-02
1.090555787086486816e-01,3.640004992485046387e-02,1.187786459922790527e-03,7.146774232387542725e-02
9.187296032905578613e-02,3.729718178510665894e-02,1.445839414373040199e-03,5.312994122505187988e-02
8.966574817895889282e-02,3.822074830532073975e-02,2.522211056202650070e-03,4.892278835177421570e-02
1.087514981627464294e-01,4.544197767972946167e-02,1.685543567873537540e-03,6.162397563457489014e-02
9.401868283748626709e-02,4.592829197645187378e-02,5.840968806296586990e-04,4.750629141926765442e-02
9.871158003807067871e-02,4.227415099740028381e-02,7.120142690837383270e-04,5.572541430592536926e-02
1.031545028090476990e-01,4.859327524900436401e-02,1.398922991938889027e-03,5.316230282187461853e-02
9.386068582534790039e-02,4.108913987874984741e-02,1.925317104905843735e-03,5.084623396396636963e-02
9.586697816848754883e-02,3.904364258050918579e-02,2.683931495994329453e-03,5.413940921425819397e-02
9.695194661617279053e-02,4.119861871004104614e-02,1.379504567012190819e-03,5.437382310628890991e-02
