checkpoint,epoch,mse,mae,max_abs_error,relative_l2,train_total,train_pde,train_boundary,train_initial,figure,grid,device,dtype
checkpoint_epoch_000500.pt,500,0.04379709536500639,0.11669826107431332,0.885736192381859,0.3406556673718514,0.05645919591188431,0.020237039774656296,0.00021465335157699883,0.03600750118494034,figures\comparison_epoch_000500.png,grids\grid_epoch_000500.npz,cuda,torch.float32
checkpoint_epoch_001000.pt,1000,0.20125253565176154,0.24184772175879593,1.624868336450517,0.7302366810594811,0.17609447240829468,0.016646811738610268,0.01341675128787756,0.14603091776371002,figures\comparison_epoch_001000.png,grids\grid_epoch_001000.npz,cuda,torch.float32
checkpoint_epoch_001500.pt,1500,0.06065274102342399,0.1004031538372297,1.713068378776488,0.4008834988764508,0.04854138195514679,0.03473462164402008,0.0002907043672166765,0.013516055420041084,figures\comparison_epoch_001500.png,grids\grid_epoch_001500.npz,cuda,torch.float32
checkpoint_epoch_002000.pt,2000,0.013558712510492265,0.05291417107371804,1.2676479212208138,0.18954057345724548,0.015013271011412144,0.00807650201022625,3.0331579182529822e-05,0.006906437687575817,figures\comparison_epoch_002000.png,grids\grid_epoch_002000.npz,cuda,torch.float32
checkpoint_epoch_002500.pt,2500,0.019770144292051192,0.06187542853330008,1.4625232544619382,0.2288747503454066,0.01780690997838974,0.007144015282392502,6.654273602180183e-05,0.010596351698040962,figures\comparison_epoch_002500.png,grids\grid_epoch_002500.npz,cuda,torch.float32
checkpoint_epoch_003000.pt,3000,0.005417977812305828,0.03683982661828729,0.8104127075883755,0.11981510568526807,0.009687555953860283,0.005801247898489237,0.0001119898515753448,0.0037743179127573967,figures\comparison_epoch_003000.png,grids\grid_epoch_003000.npz,cuda,torch.float32
checkpoint_epoch_003500.pt,3500,0.0349499131544018,0.12356679918175044,1.523591659347324,0.3043098532009817,0.055860184133052826,0.021409647539258003,0.0006739035015925765,0.03377663344144821,figures\comparison_epoch_003500.png,grids\grid_epoch_003500.npz,cuda,torch.float32
checkpoint_epoch_004000.pt,4000,0.004660577712913555,0.026349632547941287,1.0664771401906878,0.11112527304723602,0.004424000158905983,0.0032019035425037146,7.554820331279188e-05,0.0011465485440567136,figures\comparison_epoch_004000.png,grids\grid_epoch_004000.npz,cuda,torch.float32
checkpoint_epoch_004500.pt,4500,0.006634148161694273,0.04961347829742117,0.7212287521768977,0.1325822995573626,0.015616696327924728,0.007382516749203205,0.0005319687770679593,0.007702210918068886,figures\comparison_epoch_004500.png,grids\grid_epoch_004500.npz,cuda,torch.float32
checkpoint_epoch_005000.pt,5000,0.002034631533141028,0.01923988704200281,0.8154057508123655,0.07342362961782836,0.004658845253288746,0.003966790623962879,0.00015251472359523177,0.0005395397893153131,figures\comparison_epoch_005000.png,grids\grid_epoch_005000.npz,cuda,torch.float32
checkpoint_epoch_005500.pt,5500,0.00757981355785708,0.0301273538981191,1.2957700208013576,0.14171708991488619,0.0035378877073526382,0.0016130136791616678,0.00010565998672973365,0.0018192140851169825,figures\comparison_epoch_005500.png,grids\grid_epoch_005500.npz,cuda,torch.float32
checkpoint_epoch_006000.pt,6000,0.000334871759479616,0.009593893803412358,0.25174844081271974,0.029787374533771786,0.0015145393554121256,0.001204571919515729,4.1979052184615284e-05,0.0002679884200915694,figures\comparison_epoch_006000.png,grids\grid_epoch_006000.npz,cuda,torch.float32
checkpoint_epoch_006500.pt,6500,0.05445428624049212,0.11101580708678523,1.5688843843203237,0.3798472608986601,0.035453375428915024,0.012225792743265629,9.021801815833896e-05,0.02313736453652382,figures\comparison_epoch_006500.png,grids\grid_epoch_006500.npz,cuda,torch.float32
checkpoint_epoch_007000.pt,7000,0.01306263586029658,0.03610829689880566,1.5692820569006147,0.18604087536339012,0.006813982967287302,0.003877779468894005,0.00015752528270240873,0.0027786782011389732,figures\comparison_epoch_007000.png,grids\grid_epoch_007000.npz,cuda,torch.float32
checkpoint_epoch_007500.pt,7500,0.00199041711037534,0.018378335139696868,0.8669399523624685,0.07262146609351287,0.010971120558679104,0.009701387956738472,0.0003828458720818162,0.0008868866134434938,figures\comparison_epoch_007500.png,grids\grid_epoch_007500.npz,cuda,torch.float32
checkpoint_epoch_008000.pt,8000,0.009387474351104572,0.02769629294420236,1.4839738166861498,0.1577129465679821,0.0020324126817286015,0.0013306168839335442,2.9094504498061724e-05,0.0006727011641487479,figures\comparison_epoch_008000.png,grids\grid_epoch_008000.npz,cuda,torch.float32
checkpoint_epoch_008500.pt,8500,0.0009412415859197762,0.011429601376158621,0.5548856355300322,0.04993942269302071,0.0016960847424343228,0.0013457471504807472,9.283840336138383e-05,0.0002574991958681494,figures\comparison_epoch_008500.png,grids\grid_epoch_008500.npz,cuda,torch.float32
checkpoint_epoch_009000.pt,9000,0.009012391753417264,0.020804117821115777,1.3879193658384468,0.15453006768782238,0.005336537957191467,0.004674512892961502,0.0001280968135688454,0.0005339281051419675,figures\comparison_epoch_009000.png,grids\grid_epoch_009000.npz,cuda,torch.float32
checkpoint_epoch_009500.pt,9500,0.010026865683305472,0.05633525114467324,1.4904206266012694,0.16299548056599217,0.05706753581762314,0.04980849474668503,0.00028478491003625095,0.00697425939142704,figures\comparison_epoch_009500.png,grids\grid_epoch_009500.npz,cuda,torch.float32
checkpoint_epoch_010000.pt,10000,0.01943122424277127,0.035516404431666884,1.8293399443299414,0.2269044670709862,0.004243673291057348,0.0028251544572412968,5.379645881475881e-05,0.0013647222658619285,figures\comparison_epoch_010000.png,grids\grid_epoch_010000.npz,cuda,torch.float32
checkpoint_epoch_010500.pt,10500,0.011488258125324504,0.03623829360197422,1.48093989195488,0.1744697169848116,0.004930513445287943,0.0028388546779751778,0.00039791723247617483,0.0016937415348365903,figures\comparison_epoch_010500.png,grids\grid_epoch_010500.npz,cuda,torch.float32
checkpoint_epoch_011000.pt,11000,0.009436802231404173,0.020923466238637025,1.4928687398996012,0.15812676672857262,0.00192142219748348,0.0011505417060106993,9.469990618526936e-05,0.0006761805852875113,figures\comparison_epoch_011000.png,grids\grid_epoch_011000.npz,cuda,torch.float32
checkpoint_epoch_011500.pt,11500,0.025152922882763672,0.0539616827796091,1.7981095542580725,0.2581589545863393,0.013608498498797417,0.009646205231547356,0.000547445029951632,0.00341484765522182,figures\comparison_epoch_011500.png,grids\grid_epoch_011500.npz,cuda,torch.float32
checkpoint_epoch_012000.pt,12000,0.002255623183236412,0.02343064209398145,0.6659236681181556,0.0773083205755853,0.003408412914723158,0.0017543308204039931,0.00017731072148308158,0.001476771431043744,figures\comparison_epoch_012000.png,grids\grid_epoch_012000.npz,cuda,torch.float32
checkpoint_epoch_012500.pt,12500,0.0022976945118557894,0.02506936720097728,0.9259572147970506,0.07802595762476645,0.0051027387380599976,0.003906365018337965,8.060084655880928e-05,0.001115772989578545,figures\comparison_epoch_012500.png,grids\grid_epoch_012500.npz,cuda,torch.float32
checkpoint_epoch_013000.pt,13000,0.005154754479644355,0.021888333265656996,1.293550304942079,0.11686836181814823,0.0020066136494278908,0.0010183670092374086,0.0001270993088837713,0.0008611474186182022,figures\comparison_epoch_013000.png,grids\grid_epoch_013000.npz,cuda,torch.float32
checkpoint_epoch_013500.pt,13500,0.0025365685479965534,0.022178482100691278,0.8924020170689729,0.08198157652590125,0.0022217503283172846,0.0011059005046263337,0.00044482058729045093,0.0006710291490890086,figures\comparison_epoch_013500.png,grids\grid_epoch_013500.npz,cuda,torch.float32
checkpoint_epoch_014000.pt,14000,0.00503590730624856,0.019100275124417188,1.264378392648807,0.11551325661369558,0.003248215187340975,0.00244699465110898,9.304814739152789e-05,0.0007081723306328058,figures\comparison_epoch_014000.png,grids\grid_epoch_014000.npz,cuda,torch.float32
checkpoint_epoch_014500.pt,14500,0.0018356815538692832,0.012898427607013508,0.8210165448753632,0.06974155653645042,0.0014720861800014973,0.0009722983813844621,1.4720017134095542e-05,0.0004850678378716111,figures\comparison_epoch_014500.png,grids\grid_epoch_014500.npz,cuda,torch.float32
checkpoint_epoch_015000.pt,15000,0.0018337402774957015,0.016887296576363193,1.011519859055978,0.06970467011447924,0.004525688476860523,0.003657336113974452,0.0003008281928487122,0.0005675239954143763,figures\comparison_epoch_015000.png,grids\grid_epoch_015000.npz,cuda,torch.float32
checkpoint_epoch_015500.pt,15500,0.004740573457319628,0.020288869507023445,1.2920904083775953,0.11207491143721168,0.0018300703959539533,0.0010557270143181086,7.275145617313683e-05,0.0007015919545665383,figures\comparison_epoch_015500.png,grids\grid_epoch_015500.npz,cuda,torch.float32
checkpoint_epoch_016000.pt,16000,0.03610936781661322,0.051700041442870444,1.876954237956444,0.30931637126698264,0.006550701800733805,0.0018412141362205148,1.8028327758656815e-05,0.004691459238529205,figures\comparison_epoch_016000.png,grids\grid_epoch_016000.npz,cuda,torch.float32
checkpoint_epoch_016500.pt,16500,0.00022887970462851258,0.010445438353082395,0.19539933483055255,0.024626154863867242,0.0010400853352621198,0.0006813431391492486,6.828355981269851e-05,0.0002904586144722998,figures\comparison_epoch_016500.png,grids\grid_epoch_016500.npz,cuda,torch.float32
checkpoint_epoch_017000.pt,17000,0.008779770935157407,0.021571407447380307,1.3848506066122273,0.15252272530161395,0.0012247563572600484,0.0005696170264855027,1.6783604223746806e-05,0.0006383557338267565,figures\comparison_epoch_017000.png,grids\grid_epoch_017000.npz,cuda,torch.float32
checkpoint_epoch_017500.pt,17500,0.0025898555246752345,0.03353223966682234,0.7893194668289819,0.08283821514189497,0.007532014511525631,0.005757865495979786,0.00028439873130992055,0.00148974999319762,figures\comparison_epoch_017500.png,grids\grid_epoch_017500.npz,cuda,torch.float32
checkpoint_epoch_018000.pt,18000,0.02622480469087371,0.04081997602873667,1.850240138726861,0.2636022393275884,0.00351088703610003,0.0012049999786540866,4.617412923835218e-05,0.0022597128991037607,figures\comparison_epoch_018000.png,grids\grid_epoch_018000.npz,cuda,torch.float32
checkpoint_epoch_018500.pt,18500,0.0013475054159983132,0.017373851246814394,0.673592908354438,0.059752794876983456,0.003293489571660757,0.002378853503614664,0.0005068926839157939,0.0004077433259226382,figures\comparison_epoch_018500.png,grids\grid_epoch_018500.npz,cuda,torch.float32
checkpoint_epoch_019000.pt,19000,0.023993174345574558,0.03882838332003212,1.8700931346002592,0.252137138068425,0.005736791994422674,0.003666195087134838,0.00047689746133983135,0.001593699213117361,figures\comparison_epoch_019000.png,grids\grid_epoch_019000.npz,cuda,torch.float32
checkpoint_epoch_019500.pt,19500,0.0016866792167913756,0.01735535298293141,0.7928693108555475,0.06685120053681726,0.004678767640143633,0.0036192084662616253,0.00029487983556464314,0.0007646792801097035,figures\comparison_epoch_019500.png,grids\grid_epoch_019500.npz,cuda,torch.float32
checkpoint_epoch_020000.pt,20000,0.023857297386670747,0.04029015711486388,1.8189897339724506,0.25142217911296555,0.0070477738045156,0.004340494517236948,8.22497095214203e-05,0.002625029534101486,figures\comparison_epoch_020000.png,grids\grid_epoch_020000.npz,cuda,torch.float32
checkpoint_epoch_020500.pt,20500,0.02576717604120401,0.03475374715235446,1.8833812107712866,0.26129215839140923,0.00399169884622097,0.0015551687683910131,5.797431367682293e-05,0.0023785559460520744,figures\comparison_epoch_020500.png,grids\grid_epoch_020500.npz,cuda,torch.float32
checkpoint_epoch_021000.pt,21000,0.0033789829622404063,0.03444689061280254,0.7478599935294298,0.09462065826325172,0.011346756480634212,0.008995875716209412,0.00015971582615748048,0.002191164530813694,figures\comparison_epoch_021000.png,grids\grid_epoch_021000.npz,cuda,torch.float32
checkpoint_epoch_021500.pt,21500,0.00966612301556413,0.030338071543800152,1.3991759136503261,0.1600365288265241,0.0025092707946896553,0.0010763236787170172,0.0006581047782674432,0.000774842279497534,figures\comparison_epoch_021500.png,grids\grid_epoch_021500.npz,cuda,torch.float32
